Air temperature (C),Relative humidity (%),Air velocity (m/s),Radiant temperature (C),Clo,Met,Thermal comfort
22.7,28.6,0.03,23.3,0.54,1.4,5
19.9,42.5,0.19,20.6,0.68,1.46,6
21.6,53.6,0.11,22.2,0.62,1.2,6
23.0,32.4,0.26,21.6,0.62,1.1,2.0
24.0,42.0,0.16,24.1,0.33,1.39,5
23.5,39.5,0.18,23.7,0.59,1.52,5
28.5,63.7,0.97,32.4,0.33,1.2,5.0
22.5,43.0,0.06,22.4,0.59,1.2,3
20.8,38.9,0.11,21.2,0.53,2.0,5.0
23.0,40.0,0.1,23.4,0.62,1.0,4
24.2,40.9,0.09,23.3,1.2,1.4,5.0
21.9,33.4,0.07,22.3,0.68,1.0,5
21.6,45.9,0.17,22.2,1.12,1.5,5
22.0,40.7,0.07,22.0,0.86,1.51,3
23.5,42.8,0.12,23.3,0.4,1.2,3.0
23.2,42.1,0.02,23.4,0.54,1.2,5
22.9,68.8,0.04,22.9,0.89,1.0,5.0
22.3,65.0,0.35,23.4,0.52,1.37,5.0
27.7,41.3,0.09,27.6,1.17,1.0,2.0
25.1,41.0,0.05,25.3,0.76,1.33,4.0
20.0,61.3,0.05,20.3,0.73,0.9,5.0
26.5,66.4,0.24,27.5,0.35,1.2,5.0
26.4,45.0,0.36,25.1,0.46,1.1,2.0
27.5,52.8,0.22,30.0,0.42,1.2,5.0
19.0,45.8,0.07,19.3,0.46,1.2,3.0
22.3,48.0,0.12,22.5,0.54,1.29,2
22.5,62.3,0.15,21.5,0.46,1.1,5.0
22.4,40.7,0.05,22.8,0.82,1.0,5.0
20.8,56.4,0.0,21.4,0.69,1.2,3.0
26.9,84.5,0.11,27.2,0.52,1.2,5.0
24.9,39.0,0.1,25.0,0.36,1.49,4
22.4,65.3,0.05,22.4,0.63,1.0,4.0
24.1,34.3,0.15,24.1,0.62,1.2,3
20.8,25.4,0.28,19.6,1.32,1.1,1.0
23.5,77.9,0.16,24.4,0.54,1.2,5.0
23.5,36.9,0.06,23.6,0.59,1.2,5
23.5,41.6,0.09,22.7,0.4,1.3,6.0
25.0,54.0,0.17,25.3,0.38,1.39,4
23.9,60.8,0.09,24.1,0.48,1.2,3
25.3,43.6,0.23,23.8,0.63,1.1,2.0
16.8,59.8,0.1,18.0,1.1,0.8,5.0
24.0,33.0,0.14,23.8,0.36,1.25,5
25.6,48.2,0.15,24.0,1.2,1.0,5.0
22.9,30.3,0.12,22.7,1.4,1.5,5.0
23.6,48.7,0.15,23.5,0.56,1.2,3
29.7,75.7,0.35,30.2,0.29,1.2,2.0
23.2,56.0,0.1,23.4,0.38,1.24,5
22.5,43.4,0.13,23.3,0.65,1.55,5
24.0,47.9,0.0,24.7,0.45,1.6,3.0
29.9,66.7,0.24,30.7,0.39,1.6,3.0
23.3,30.2,0.04,23.4,0.94,1.0,5
28.7,75.4,0.42,30.3,0.22,1.2,3.0
22.5,38.2,0.15,23.4,0.64,1.14,4
24.8,58.2,0.07,24.9,0.46,1.0,2.0
22.2,42.6,0.27,22.4,0.8,1.0,5
23.6,41.6,0.04,23.9,0.93,1.2,1
23.4,60.0,0.1,23.8,0.33,1.19,5
22.9,35.8,0.18,21.3,1.05,1.1,2.0
26.7,41.9,0.16,24.8,0.7,1.1,2.0
21.9,54.0,0.09,23.7,0.38,1.2,1.0
24.1,50.3,0.19,24.3,0.79,1.2,4
30.1,74.6,0.38,30.3,0.27,1.2,5.0
22.8,31.3,0.17,23.0,0.71,1.4,3
23.0,58.0,0.13,23.0,0.6,1.14,5
22.9,42.9,0.26,23.4,0.72,1.03,5
22.3,52.6,0.09,22.5,0.79,1.0,5
29.9,77.8,0.43,30.9,0.31,1.2,2.0
23.6,41.1,0.08,22.5,0.7,1.1,6.0
23.4,47.5,0.13,23.5,0.62,1.12,6
17.2,73.9,0.1,17.4,2.74,1.2,2.0
21.1,29.3,0.25,22.2,0.93,1.2,3.0
23.6,60.9,0.08,23.8,0.81,1.0,4.0
22.5,48.7,0.06,22.8,0.66,1.2,6
23.9,31.4,0.08,23.0,0.7,1.4,4.0
18.4,47.9,0.17,18.5,0.97,1.2,3.0
29.7,75.7,0.35,30.2,0.92,1.6,1.0
28.7,71.3,0.27,29.4,0.41,1.2,3.0
24.7,33.0,0.09,24.0,0.5,1.5,4.0
23.8,42.3,0.08,23.0,0.4,1.4,5.0
20.3,56.5,0.02,20.9,0.44,1.2,3.0
22.2,44.5,0.06,22.6,0.93,1.0,6
21.7,40.2,0.11,22.2,0.7,1.12,5
23.2,26.8,0.04,23.5,0.84,1.0,3
21.5,65.3,0.13,19.3,0.95,1.1,5.0
22.5,65.5,0.08,22.9,0.69,1.2,3.0
27.0,74.3,0.14,27.7,0.31,1.2,5.0
26.4,42.0,0.13,25.4,0.64,1.1,2.0
22.9,28.0,0.06,23.1,0.57,1.0,5
23.1,62.0,0.15,23.7,0.29,1.79,5
19.8,38.9,0.05,19.7,0.66,1.4,4
20.9,23.8,0.09,21.0,0.59,1.0,2
20.3,37.0,0.2,20.2,1.22,1.2,5.0
21.0,44.3,0.19,22.0,0.52,1.37,6
21.1,29.3,0.25,22.2,1.03,1.2,3.0
25.1,47.7,0.26,24.4,0.46,1.1,2.0
22.9,24.7,0.06,23.1,0.86,1.0,5
26.8,63.8,0.24,27.3,0.5,1.2,5.0
20.8,51.0,0.11,21.3,0.94,1.49,3
22.9,40.4,0.05,21.1,0.7,1.1,2.0
24.1,51.6,0.06,23.5,0.4,1.3,3.0
24.0,34.4,0.11,24.4,0.33,1.37,5
13.8,37.7,0.08,13.7,1.76,1.2,5.0
22.0,43.5,0.06,22.2,0.66,1.54,3
28.7,78.9,0.69,30.4,0.47,1.2,5.0
21.3,48.6,0.08,21.4,1.5,1.2,5.0
16.9,54.1,0.1,17.7,1.42,1.6,5.0
20.3,52.4,0.12,22.7,0.38,1.0,3.0
23.4,58.3,0.07,23.5,0.48,1.0,3.0
23.1,64.8,0.12,23.3,0.76,1.0,6.0
30.4,69.5,0.56,30.7,0.41,1.2,3.0
24.3,55.6,0.08,24.3,0.47,1.4,6.0
20.3,43.1,0.31,21.2,0.46,1.1,5.0
21.3,47.0,0.05,21.8,1.05,0.8,5.0
13.8,36.7,0.12,14.4,1.12,1.6,2.0
19.7,50.1,0.11,27.1,0.51,1.1,2.0
19.7,61.1,0.02,19.9,0.9,1.2,2.0
17.2,26.4,0.17,15.3,1.02,1.1,3.0
20.1,30.3,0.07,21.3,0.53,1.2,6
22.9,57.2,0.08,23.1,0.74,1.2,5.0
24.7,44.0,0.01,24.8,0.76,1.39,6.0
21.7,60.8,0.01,21.9,0.89,1.2,5.0
22.4,55.3,0.16,23.4,0.57,1.0,5.0
22.2,63.4,0.02,22.4,0.37,1.2,6.0
28.6,58.1,0.28,29.0,0.31,1.2,5.0
26.4,39.5,0.38,25.4,0.46,1.1,2.0
22.3,35.8,0.23,23.9,0.48,1.17,5
19.8,61.0,0.04,20.4,0.65,1.2,5.0
22.4,42.8,0.09,22.7,0.78,1.2,5.0
22.1,40.8,0.3,24.7,0.55,1.6,5.0
23.5,47.0,0.1,23.8,0.4,1.64,5
16.6,52.6,0.07,17.1,0.78,1.2,2.0
24.4,29.9,0.07,24.8,0.62,1.2,5
21.7,55.6,0.06,22.5,0.34,1.0,5.0
31.3,68.0,0.58,33.2,0.33,1.2,2.0
30.5,73.0,0.38,31.8,0.1,1.2,3.0
22.1,56.7,0.01,22.5,0.48,1.0,6.0
23.0,60.0,0.16,23.2,0.36,1.0,5.0
22.9,13.0,0.11,22.9,0.8,1.1,6.0
22.2,26.8,0.06,22.3,0.94,1.0,6
22.2,33.9,0.13,22.7,0.74,1.0,5
23.0,26.2,0.11,20.7,0.53,1.1,5.0
21.7,35.9,0.06,21.6,0.98,1.2,5
23.2,37.4,0.14,23.9,0.47,1.0,3
25.0,32.2,0.09,22.5,0.93,1.1,2.0
22.7,60.9,0.07,23.1,0.53,1.0,4.0
22.7,66.2,0.02,23.2,0.69,1.2,5.0
16.8,39.9,0.06,17.3,0.84,1.2,5.0
23.1,39.1,0.06,19.3,0.73,1.1,5.0
27.2,49.4,0.52,27.7,0.32,1.2,3.0
23.0,45.6,0.24,24.0,0.33,1.25,5
23.9,28.7,0.18,22.5,0.39,1.1,5.0
19.7,49.5,0.1,20.4,0.68,1.2,5.0
24.7,58.4,0.03,24.9,0.62,1.2,3.0
21.3,43.3,0.13,22.5,0.65,1.03,6
28.0,59.9,0.33,28.6,0.43,1.0,5.0
31.8,63.0,0.37,33.4,0.31,1.6,2.0
21.8,42.8,0.09,22.1,0.43,1.52,5
23.7,45.0,0.14,23.8,0.4,1.86,5
23.5,60.3,0.07,23.8,0.62,1.2,6.0
13.8,36.7,0.12,14.4,1.38,1.6,5.0
22.2,51.0,0.17,22.6,0.55,0.99,6
21.3,65.4,0.08,18.9,1.18,1.1,2.0
17.6,59.8,0.1,18.1,0.79,1.2,3.0
26.6,48.0,0.16,26.9,0.34,1.37,3
27.7,38.7,0.2,27.1,1.06,1.0,1.0
23.0,40.3,0.03,23.2,1.48,1.0,3
23.9,28.5,0.08,23.5,0.4,1.2,4.0
22.7,58.9,0.11,22.8,0.3,1.4,5.0
16.7,62.8,0.23,17.6,1.31,1.69,4
22.7,19.3,0.06,21.5,0.5,1.0,3.0
28.7,62.2,0.37,30.1,0.48,1.6,5.0
17.9,38.4,0.1,16.3,1.44,1.1,5.0
25.4,55.0,0.1,25.4,0.62,1.0,3.0
25.7,58.8,0.04,26.3,0.49,1.6,5.0
26.8,44.1,0.26,27.5,0.49,1.0,5.0
21.2,38.9,0.03,21.3,0.56,1.2,4
25.4,63.6,0.04,25.4,0.67,1.4,5.0
25.1,32.4,0.07,23.5,0.71,1.1,2.0
23.7,46.0,0.1,23.9,0.7,1.79,5
27.2,41.9,0.37,27.4,0.63,1.0,6.0
21.4,60.4,0.01,21.7,0.83,1.2,6.0
24.8,47.4,0.3,24.3,0.71,1.1,2.0
22.9,31.2,0.08,22.2,1.0,1.6,5.0
21.3,34.7,0.07,20.2,0.97,1.0,5.0
25.1,47.4,0.31,26.8,0.67,1.1,2.0
20.2,64.9,0.13,20.7,1.12,1.2,5.0
23.1,68.5,0.04,23.1,0.69,1.0,6.0
26.5,48.4,0.04,27.2,0.19,1.2,3.0
28.5,51.8,0.03,28.7,0.65,1.2,3.0
26.7,51.6,0.05,27.2,0.38,1.2,3.0
24.9,25.1,0.14,25.9,1.04,1.2,2
29.9,77.8,0.43,30.9,0.38,1.6,3.0
22.5,75.6,0.21,23.3,0.61,1.0,3.0
22.6,57.2,0.1,21.8,0.5,1.4,5.0
30.4,71.4,0.53,30.9,0.2,1.2,5.0
21.5,69.4,0.14,21.5,0.76,1.0,5.0
29.8,76.3,0.34,30.2,0.22,1.6,3.0
23.4,35.3,0.09,22.7,1.1,1.3,4.0
15.6,52.8,0.11,16.2,0.56,2.0,3.0
24.9,37.6,0.03,24.8,0.63,1.2,5.0
22.4,39.0,0.4,24.9,0.27,1.2,3.0
20.8,73.5,0.06,21.7,0.26,1.2,2.0
23.0,11.3,0.09,22.3,1.1,1.1,4.0
22.9,47.0,0.14,23.0,0.5,1.39,6
22.6,60.8,0.17,22.9,0.49,1.1,4
23.6,19.2,0.05,22.2,0.7,1.1,3.0
25.1,53.1,0.2,25.3,0.5,1.12,5
25.0,35.0,0.04,24.6,0.39,1.26,4.0
23.6,66.0,0.1,23.9,0.36,1.69,5
21.0,65.1,0.13,19.4,0.94,1.1,1.0
28.5,42.2,0.19,27.9,0.46,1.1,2.0
19.9,36.4,0.13,20.0,1.65,1.2,5.0
23.4,46.0,0.1,24.0,0.35,1.37,3.0
26.0,49.7,0.11,24.4,0.59,1.1,2.0
25.3,57.6,0.05,25.5,0.66,1.4,4.0
21.4,33.6,0.06,22.0,1.05,1.2,6
23.0,58.7,0.07,23.2,0.53,1.0,3.0
28.4,64.5,0.58,26.6,0.6,1.1,2.0
26.4,49.7,0.23,24.2,0.59,1.1,2.0
20.5,48.2,0.04,20.6,0.95,1.0,5
23.1,54.6,0.1,23.3,0.64,1.49,6
21.9,14.1,0.16,22.1,0.8,1.1,6.0
22.2,62.0,0.1,22.2,0.52,1.2,3.0
26.7,78.0,0.0,27.4,0.4,1.2,5.0
22.4,40.0,0.18,22.7,0.78,1.11,2.0
18.0,50.1,0.31,19.2,0.84,1.6,3.0
23.2,54.7,0.02,23.4,0.61,1.4,5.0
20.1,68.6,0.06,20.5,0.56,1.2,3.0
21.8,37.2,0.06,22.1,0.8,1.2,6
24.9,33.0,0.11,22.4,0.96,1.1,2.0
22.6,31.3,0.14,23.3,0.71,1.0,5
25.3,36.0,0.09,25.2,0.74,1.18,1.0
23.5,41.7,0.2,23.2,0.84,1.54,5
27.3,73.3,0.2,29.4,0.12,1.2,3.0
23.7,38.1,0.06,24.2,0.46,1.2,5.0
23.9,47.7,0.17,24.0,0.9,1.2,3
20.3,37.9,0.09,20.6,0.63,1.2,5.0
24.8,33.1,0.07,24.8,0.31,1.37,1
22.7,51.3,0.17,22.7,0.61,1.44,5
18.3,22.4,0.3,15.4,1.24,1.1,5.0
23.0,60.5,0.1,23.2,0.48,1.4,4.0
24.1,55.9,0.09,23.4,0.4,1.4,5.0
20.3,41.0,0.21,21.4,0.66,1.12,5
20.7,31.7,0.09,18.9,0.94,1.1,2.0
19.5,40.7,0.42,20.7,0.46,1.1,5.0
21.0,59.4,0.15,20.0,0.67,1.1,2.0
23.6,69.0,0.14,24.0,0.38,1.29,5
22.8,46.1,0.18,22.5,0.67,1.1,5.0
20.2,31.4,0.13,22.5,0.77,1.6,5.0
21.9,40.9,0.12,22.3,1.23,1.4,6
22.3,43.0,0.22,24.7,0.84,1.2,5.0
22.6,35.0,0.12,21.2,0.96,1.1,2.0
27.1,65.0,0.24,27.2,0.34,1.0,2.0
23.7,37.9,0.07,23.7,0.7,1.0,6
25.2,57.2,0.09,25.2,0.76,1.0,4.0
23.1,41.7,0.01,23.1,0.59,1.0,5
21.2,46.5,0.18,25.9,0.62,1.1,5.0
23.1,55.0,0.1,23.5,0.94,1.2,2
20.7,52.0,0.06,21.1,1.21,1.6,5.0
26.2,53.4,0.16,25.1,0.71,1.1,2.0
22.9,35.0,0.08,23.2,0.67,1.2,2
29.7,40.5,0.17,29.1,0.24,0.8,5.0
27.1,74.1,0.13,27.8,0.4,1.2,5.0
24.7,33.9,0.12,23.0,0.9,1.1,2.0
24.9,63.2,0.11,25.1,0.63,1.2,5.0
23.3,30.2,0.15,23.0,0.7,1.2,6.0
23.3,66.0,0.19,23.5,0.32,0.99,2
23.0,45.8,0.04,22.9,0.62,1.0,5
22.6,36.6,0.04,22.6,0.55,1.2,3
28.5,63.7,0.97,32.4,0.4,1.2,5.0
24.6,61.0,0.11,24.9,0.49,1.49,6
22.2,11.0,0.17,21.6,1.0,1.2,6.0
26.4,48.2,0.07,25.1,1.3,1.2,1.0
22.7,64.0,0.15,22.8,0.47,1.42,5
12.1,27.7,0.13,10.2,1.48,1.1,5.0
24.5,39.5,0.07,24.1,0.4,1.4,4.0
24.7,43.0,0.16,24.8,0.5,1.29,6
28.9,50.7,0.2,29.2,0.38,2.0,5.0
24.7,29.7,0.21,25.8,0.4,1.37,4
23.4,30.1,0.06,23.6,0.69,1.2,6
22.8,30.2,0.06,21.9,1.0,1.0,5.0
24.6,33.8,0.22,25.5,0.63,1.39,3
24.0,48.0,0.12,24.4,0.38,1.49,3
22.8,42.4,0.1,23.2,0.49,1.2,6
23.6,55.3,0.09,23.9,0.51,1.4,5
24.3,56.0,0.12,24.5,0.25,1.04,6
23.3,54.6,0.05,22.6,0.5,1.2,3.0
22.4,55.1,0.06,23.0,0.36,1.0,5.0
23.6,41.6,0.06,23.6,0.52,1.2,6
28.3,65.1,0.31,29.9,0.49,1.2,3.0
26.6,57.3,0.01,26.9,0.4,1.2,3.0
18.1,42.1,0.08,19.1,0.46,1.1,5.0
22.1,29.9,0.09,21.4,1.0,1.0,4.0
22.9,38.8,0.07,23.3,0.62,1.2,4
23.1,41.0,0.25,24.1,0.7,1.42,6
21.5,33.5,0.06,20.2,0.8,1.5,5.0
22.4,64.0,0.1,22.5,0.48,1.09,3
24.3,26.9,0.02,24.5,0.58,1.0,5
27.1,62.9,0.23,27.2,0.36,1.0,3.0
27.0,79.9,0.1,27.6,0.89,2.0,3.0
23.2,24.0,0.09,22.3,0.6,1.0,4.0
22.1,61.6,0.2,22.9,0.56,1.0,5.0
23.2,24.1,0.05,22.1,0.7,1.0,5.0
24.9,49.0,0.1,25.0,0.45,1.14,5
22.5,63.6,0.06,22.6,0.5,1.0,5.0
24.7,52.0,0.12,24.9,0.42,1.19,6
24.0,48.0,0.1,24.2,0.48,1.14,6
19.6,36.3,0.12,20.9,0.66,1.2,2.0
20.9,63.1,0.18,21.2,0.72,1.6,3.0
21.3,59.3,0.06,21.4,0.92,1.0,5.0
26.8,59.2,0.35,27.9,0.52,1.0,5.0
21.0,65.1,0.07,20.0,0.6,1.1,5.0
22.1,58.8,0.33,22.9,0.44,1.63,4
21.5,55.6,0.06,21.6,0.53,1.03,6
21.6,50.3,0.07,22.5,0.26,1.2,2.0
23.1,27.6,0.06,21.8,0.8,1.0,5.0
22.5,59.1,0.07,22.9,0.58,1.0,5.0
24.2,63.3,0.11,23.9,0.72,1.0,5.0
25.5,62.0,0.1,25.8,0.49,1.29,3
28.9,73.5,0.51,29.4,0.38,1.6,2.0
24.4,33.0,0.08,23.7,0.74,1.11,6.0
24.8,36.0,0.1,25.6,0.54,1.4,4.0
22.4,31.8,0.05,23.0,0.88,1.0,5.0
22.2,23.6,0.1,22.2,0.87,1.2,4
28.4,63.9,0.64,26.9,0.67,1.1,2.0
22.3,30.3,0.08,22.7,0.75,1.2,6
24.1,58.6,0.1,24.1,0.54,1.0,6.0
22.8,53.1,0.18,22.9,0.7,1.69,3
24.9,59.6,0.12,25.2,0.54,1.2,4.0
24.3,26.5,0.22,24.5,0.46,1.0,5
17.2,62.8,0.05,17.5,0.54,1.2,3.0
29.1,76.5,0.53,30.5,0.51,1.2,5.0
20.5,41.0,0.18,21.2,0.73,1.16,4.0
23.1,61.5,0.11,23.7,0.46,1.2,3.0
26.4,53.1,0.16,25.0,0.67,1.1,2.0
24.2,29.0,0.03,24.0,0.42,1.4,1
23.9,37.8,0.15,21.8,0.64,1.1,2.0
29.4,51.2,0.54,29.9,0.25,1.2,3.0
23.3,36.6,0.09,22.8,0.4,1.0,5.0
22.4,30.6,0.05,22.8,0.75,1.0,5
21.4,53.6,0.12,21.6,0.59,1.2,6
23.3,22.7,0.17,23.2,0.47,1.0,6
27.7,41.3,0.09,27.6,1.06,1.0,3.0
21.7,57.0,0.0,21.8,0.48,1.0,6.0
26.6,32.3,0.34,28.7,1.38,1.0,5.0
23.3,53.0,0.1,23.5,0.38,1.29,5
22.1,54.2,0.05,22.1,0.99,1.31,5
24.8,47.2,0.2,24.7,0.6,1.1,5.0
21.6,69.2,0.12,22.0,0.67,1.0,5.0
22.9,40.3,0.16,22.9,0.5,1.4,5
28.7,62.7,0.59,31.9,0.21,1.2,5.0
22.5,65.0,0.16,23.1,0.92,1.2,5.0
25.3,73.4,0.13,26.0,0.94,1.2,3.0
28.0,62.7,0.05,28.1,0.47,1.6,2.0
26.1,52.5,0.25,25.1,0.71,1.1,2.0
22.9,34.8,0.12,22.4,0.6,1.0,5.0
23.2,64.0,0.13,23.2,0.37,0.99,4
25.7,45.5,0.09,25.4,0.4,1.2,2.0
29.8,68.2,0.12,29.5,0.46,1.1,2.0
27.1,74.8,0.39,28.1,0.33,1.2,5.0
25.0,58.8,0.27,23.2,0.67,1.2,5.0
22.6,48.3,0.08,22.6,0.84,1.4,5.0
22.7,42.9,0.14,22.1,0.4,1.2,6.0
21.9,47.0,0.06,22.4,0.57,1.0,6
23.3,13.8,0.13,23.2,0.6,1.0,4.0
21.6,40.6,0.05,21.8,0.53,1.05,3
21.3,54.8,0.15,22.1,0.87,1.0,4
24.3,47.5,0.05,24.4,0.62,1.4,4
22.4,58.3,0.17,23.3,0.5,1.0,3.0
21.0,65.1,0.07,20.0,0.99,1.1,2.0
22.7,18.6,0.05,21.4,1.0,1.5,2.0
23.1,29.0,0.08,21.3,0.59,1.1,5.0
25.4,47.3,0.1,25.0,0.5,1.0,3.0
22.7,56.6,0.09,22.0,0.9,1.0,1.0
22.6,25.3,0.11,22.7,0.58,1.4,5
21.9,46.5,0.05,22.0,0.73,1.0,6
22.6,40.3,0.12,22.8,1.3,1.0,4.0
25.1,42.5,0.22,23.8,0.78,1.1,2.0
27.8,45.6,0.45,28.3,0.74,1.6,5.0
24.8,20.4,0.28,20.7,0.47,1.0,6
26.1,44.7,0.08,26.9,0.46,1.1,2.0
25.1,37.9,0.28,25.2,0.5,1.1,4
24.2,13.1,0.07,23.1,0.4,1.1,2.0
21.0,50.2,0.06,22.2,0.99,1.0,5.0
21.4,33.2,0.17,22.5,0.94,1.0,5.0
22.8,41.8,0.05,23.0,0.52,1.4,3.0
23.5,48.7,0.01,23.8,0.49,1.0,5
22.5,29.8,0.08,23.4,0.95,1.0,5.0
22.0,45.0,0.63,23.5,0.53,1.2,6.0
30.1,71.1,0.47,31.0,0.51,1.2,3.0
24.8,47.4,0.3,24.3,0.71,1.1,5.0
21.1,65.1,0.12,23.2,0.45,1.0,5.0
22.3,66.1,0.04,22.6,0.38,1.2,4.0
30.2,80.0,0.56,30.9,0.29,0.8,2.0
25.6,65.7,0.14,24.5,0.46,1.1,5.0
22.6,65.4,0.05,22.8,0.52,1.2,5.0
23.2,58.0,0.11,23.4,0.42,1.19,5
23.1,40.8,0.01,23.4,0.56,1.2,5
24.1,55.8,0.2,24.6,0.61,0.8,5.0
22.7,69.0,0.17,23.5,0.44,1.49,4
21.3,45.6,0.15,21.6,0.68,1.25,5
23.2,34.7,0.11,23.6,0.76,1.2,5
26.6,72.6,0.31,27.3,0.71,1.2,5.0
23.9,43.1,0.13,24.6,0.55,1.25,4
30.2,28.9,0.14,28.9,0.8,1.1,5.0
27.1,74.1,0.13,27.8,0.51,1.2,2.0
22.5,64.0,0.05,22.8,0.84,1.4,2.0
23.1,68.7,0.18,23.4,0.45,1.4,3.0
23.3,24.4,0.08,23.6,0.6,1.0,4
30.0,73.5,0.28,30.9,0.06,1.2,3.0
25.3,74.6,0.13,26.0,0.64,1.2,3.0
22.7,64.7,0.06,22.7,0.48,1.2,6.0
20.4,43.7,0.08,22.9,1.09,1.0,5.0
22.0,38.0,0.34,19.9,1.11,1.1,2.0
30.6,72.3,0.27,30.8,0.14,1.2,3.0
19.8,50.6,0.01,19.9,0.76,1.2,5
23.5,55.0,0.1,23.6,0.5,0.99,5
23.3,46.0,0.09,23.4,0.75,1.2,4.0
20.8,48.0,0.02,21.4,0.83,1.2,3
22.2,56.3,0.1,22.7,0.89,1.0,1.0
29.0,76.6,0.3,30.5,0.38,1.2,2.0
23.6,53.8,0.07,24.0,0.25,1.2,5.0
27.8,49.4,0.34,28.1,0.74,1.6,5.0
17.6,59.8,0.1,18.1,1.87,1.2,5.0
23.3,45.2,0.1,23.2,0.56,1.0,5
22.4,55.0,0.08,22.7,0.95,1.2,4
29.6,81.8,0.96,29.8,0.74,1.2,3.0
23.1,35.7,0.04,23.3,0.67,1.0,5
24.3,70.1,0.08,24.5,0.75,1.2,5.0
22.3,43.0,0.22,24.7,0.89,1.2,3.0
26.1,49.5,0.18,27.6,0.42,1.6,3.0
22.1,64.3,0.13,22.1,0.54,1.0,3.0
24.0,36.9,0.22,22.8,0.45,1.22,3
24.6,44.0,0.11,24.8,0.25,1.24,4
20.8,23.3,0.19,18.5,1.32,1.1,5.0
20.7,44.3,0.19,22.0,0.66,1.2,3.0
24.2,54.0,0.1,24.2,0.82,1.19,5
22.7,32.8,0.16,23.9,0.48,1.12,6
22.8,48.9,0.2,23.0,0.79,1.12,5
24.3,38.0,0.13,24.4,0.68,1.39,3
21.6,36.0,0.07,21.9,0.8,1.2,6
23.2,63.5,0.04,23.5,0.37,1.0,6.0
22.7,41.7,0.09,23.3,0.47,1.0,6
23.6,43.6,0.13,24.9,0.49,1.0,5.0
28.1,66.4,0.1,27.5,0.67,1.1,1.0
20.6,27.8,0.13,21.2,0.64,1.2,3.0
30.0,40.3,0.28,27.8,0.34,1.0,5.0
23.1,22.7,0.13,22.4,0.6,1.0,5.0
22.8,46.4,0.09,22.8,0.6,1.0,6
27.3,49.6,0.26,26.0,0.71,1.2,5.0
23.1,44.3,0.04,23.4,0.76,1.4,5
22.4,56.0,0.06,22.6,0.49,1.4,3
27.0,74.3,0.14,27.7,0.4,1.6,3.0
21.2,34.2,0.07,21.6,0.67,1.2,5
26.4,51.7,0.4,26.6,0.47,1.2,3.0
22.0,31.5,0.05,22.1,0.93,1.0,6
22.7,54.0,0.17,23.1,0.42,1.04,6
26.4,40.7,0.13,23.9,0.7,1.1,3.0
23.9,26.6,0.43,24.8,0.96,1.2,4
28.4,78.8,0.43,28.8,0.29,1.2,3.0
23.2,26.3,0.17,21.7,1.01,1.1,5.0
23.7,36.4,0.08,23.7,0.7,1.2,5
23.2,32.0,0.12,24.0,0.4,1.12,5
26.8,45.6,0.2,24.5,0.71,1.2,5.0
20.0,50.0,0.3,20.8,0.75,1.1,3.0
23.6,55.0,0.1,23.9,0.36,1.24,3
24.2,36.6,0.1,23.9,0.5,1.2,4.0
21.2,52.9,0.06,21.5,0.49,1.2,3.0
23.4,52.9,0.05,23.7,0.34,1.0,6
22.4,33.0,0.17,22.9,0.93,1.3,6.0
22.1,49.7,0.12,22.2,0.62,1.0,5
27.7,35.8,0.43,27.5,0.41,1.0,2.0
33.0,68.0,0.34,34.2,0.29,1.2,5.0
24.8,39.0,0.05,24.3,0.83,1.28,5.0
23.2,35.0,0.11,23.4,0.63,1.24,6
23.9,24.1,0.09,23.9,0.9,1.0,5
24.9,53.0,0.16,25.8,0.45,1.04,5
28.8,55.3,0.3,28.7,0.5,1.2,5.0
31.1,55.7,0.48,31.8,0.32,1.2,5.0
23.9,36.7,0.11,24.0,0.65,1.0,5
23.3,32.2,0.09,23.5,0.9,1.4,5
23.9,62.0,0.11,23.9,0.29,1.49,6
24.7,56.0,0.23,25.0,0.67,1.2,2.0
21.4,48.3,0.17,21.5,0.68,1.36,6
29.0,72.2,0.22,29.2,0.31,1.6,5.0
22.5,59.0,0.14,24.0,0.48,1.45,3.0
23.0,19.9,0.05,21.7,0.7,1.2,6.0
21.8,24.4,0.06,22.2,0.66,1.0,6
27.5,50.6,0.06,28.8,0.83,1.2,5.0
23.0,18.7,0.06,21.5,0.9,1.6,3.0
22.4,42.0,0.09,22.8,0.79,1.27,5
23.4,43.8,0.02,23.7,0.61,1.2,6
21.8,38.4,0.03,21.9,0.32,1.0,5
24.7,42.0,0.02,25.0,0.76,1.16,6.0
21.3,58.8,0.05,21.5,0.89,1.0,5.0
22.9,57.2,0.06,23.2,0.51,1.2,5.0
22.5,54.7,0.14,22.6,0.62,1.0,6.0
24.3,41.5,0.07,24.6,0.54,1.0,3
23.2,66.8,0.15,22.2,0.46,1.1,2.0
18.9,59.2,0.0,19.5,0.8,1.6,3.0
23.0,54.1,0.02,23.0,0.76,1.0,5.0
29.9,52.5,0.19,30.9,0.4,1.2,3.0
21.6,47.0,0.16,21.5,0.59,1.59,5
23.1,35.3,0.13,22.6,0.5,1.2,6.0
23.0,26.7,0.07,23.4,0.66,1.2,5
32.1,63.9,0.5,33.5,0.37,1.6,3.0
23.1,42.4,0.08,23.2,0.7,1.39,5
23.6,39.2,0.12,22.9,0.7,1.1,2.0
23.3,55.0,0.1,23.5,0.57,1.29,5
22.7,49.2,0.06,23.0,0.66,1.2,5
24.4,34.8,0.12,25.2,0.66,1.0,2
