Air temperature (C),Relative humidity (%),Air velocity (m/s),Radiant temperature (C),Clo,Met,Thermal comfort
20.6,33.3,0.01,20.7,0.9,1.2,4
24.3,65.2,0.28,24.8,0.68,1.2,5.0
20.3,33.0,0.03,19.7,1.2,1.11,5.0
26.6,66.0,0.31,27.7,0.4,1.2,5.0
22.6,65.3,0.06,22.6,0.38,1.0,5.0
23.9,51.3,0.15,24.3,0.5,1.0,4.0
24.9,38.8,0.06,24.8,0.54,1.0,3
22.9,70.4,0.6,23.1,0.76,1.0,5.0
22.9,59.7,0.06,22.9,0.59,1.0,5.0
31.4,63.7,1.32,33.9,0.42,1.2,5.0
22.4,40.2,0.14,22.8,0.65,1.39,3
27.9,49.5,0.15,26.5,0.67,1.1,5.0
25.4,41.5,0.12,23.7,0.7,1.1,2.0
21.9,42.0,0.12,22.2,0.83,1.03,5
26.2,58.5,0.21,25.2,0.71,1.1,2.0
23.4,49.0,0.13,23.6,0.63,1.29,3
23.2,59.3,0.02,23.4,0.56,1.0,5.0
23.4,23.9,0.1,24.2,0.49,1.0,6
27.5,27.0,0.08,27.1,0.74,1.63,5.0
23.9,30.0,0.14,22.2,0.96,1.1,2.0
13.8,54.7,0.09,14.2,1.34,1.6,3.0
23.5,44.2,0.17,25.0,0.46,1.2,5.0
23.8,30.0,0.16,22.4,0.6,1.1,2.0
23.8,24.6,0.1,22.8,1.2,1.2,5.0
22.3,44.3,0.04,22.5,1.33,1.2,5.0
23.5,31.5,0.1,22.0,0.8,1.4,5.0
27.6,64.1,0.05,28.0,0.42,1.2,2.0
22.8,39.5,0.05,23.3,0.87,1.0,5
22.0,23.8,0.09,21.2,0.8,1.0,5.0
22.6,39.7,0.05,22.7,0.49,1.0,5.0
20.8,40.0,0.14,21.2,0.82,1.19,5.0
21.8,68.0,0.1,21.7,0.37,1.74,5
24.3,65.3,0.12,24.4,0.62,1.2,5.0
23.5,38.4,0.18,23.4,1.19,1.0,1.0
23.0,44.0,0.14,23.2,0.29,1.24,3
26.0,57.0,0.18,26.2,0.76,1.0,2
27.7,66.7,0.51,28.8,0.32,1.2,5.0
19.2,41.9,0.41,20.3,0.75,1.1,5.0
23.7,33.3,0.02,24.0,1.32,1.2,2.0
26.2,68.2,0.31,29.4,0.4,1.2,5.0
32.0,61.9,0.18,33.5,0.29,1.6,3.0
24.3,44.0,0.46,24.7,0.34,1.66,5
23.0,46.5,0.08,23.3,0.58,1.27,3
23.4,59.4,0.08,24.2,0.3,1.0,3.0
20.3,52.5,0.2,22.3,0.46,1.1,5.0
30.3,39.4,0.28,28.0,0.42,1.1,5.0
30.5,73.2,0.18,31.4,0.18,1.2,3.0
23.2,53.1,0.11,23.7,0.63,1.6,5.0
22.7,59.4,0.03,22.7,0.71,1.4,4.0
21.6,35.2,0.07,21.5,0.84,1.0,5
24.2,57.2,0.1,24.6,0.19,1.2,2.0
30.1,76.2,0.18,30.6,0.38,1.2,5.0
21.3,45.3,0.05,21.7,1.29,1.2,3.0
20.8,36.1,0.27,19.6,1.16,1.1,2.0
23.1,39.1,0.06,19.3,0.67,1.1,2.0
22.0,26.4,0.07,22.1,0.57,1.0,5
21.2,28.5,0.09,21.1,0.7,1.4,2.0
18.9,59.2,0.0,19.5,0.82,1.2,5.0
22.8,55.0,0.16,22.6,0.45,0.99,6
23.3,57.9,0.07,22.9,0.5,1.1,6.0
24.2,60.6,0.08,24.3,0.59,1.4,2.0
18.2,38.7,0.12,20.3,0.73,1.0,3.0
20.9,29.2,0.21,18.5,0.7,1.1,2.0
21.2,46.0,0.06,21.5,1.19,1.0,5
22.9,38.6,0.08,23.4,0.6,1.1,4
21.9,46.8,0.16,22.4,0.64,1.12,5
21.4,33.1,0.06,21.5,2.33,0.8,5.0
22.2,43.2,0.2,22.3,0.53,1.42,3
27.0,52.9,0.51,28.4,0.47,1.2,5.0
25.0,57.3,0.05,25.3,0.48,1.2,3.0
23.9,51.0,0.1,24.0,0.77,1.49,5
32.0,61.9,0.18,33.5,0.29,1.2,2.0
24.5,56.0,0.11,24.9,0.5,1.49,4
20.3,43.1,0.31,21.2,0.46,1.1,2.0
22.6,61.0,0.1,22.8,0.37,1.19,6
24.4,54.0,0.1,24.5,0.29,1.04,2
21.7,54.6,0.31,22.4,0.69,1.12,2
23.9,24.1,0.06,24.2,0.62,1.0,5
23.5,68.0,0.13,23.7,0.38,1.47,2
19.3,72.5,0.0,20.1,0.18,1.2,2.0
24.4,42.9,0.09,24.0,0.4,1.6,2.0
23.0,54.9,0.06,23.2,0.68,1.0,4.0
22.4,38.3,0.14,22.6,0.6,1.54,3
20.5,67.0,0.15,20.8,0.44,1.2,5.0
30.6,66.0,0.43,31.3,0.31,1.2,5.0
25.0,42.0,0.11,22.4,0.96,1.1,2.0
27.5,64.7,0.06,27.9,0.49,2.0,1.0
24.4,49.5,0.06,23.4,0.5,1.4,4.0
20.9,52.8,0.05,21.0,0.47,1.0,5
25.0,58.0,0.18,25.0,0.54,1.23,3.0
25.4,46.2,0.32,25.5,0.67,1.1,2.0
21.7,41.5,0.09,22.0,0.75,1.54,2
21.2,29.4,0.21,21.7,0.75,1.2,3.0
24.1,53.0,0.13,24.2,0.5,1.39,6
23.5,46.5,0.04,23.6,0.86,1.2,4
21.8,39.2,0.14,22.1,0.81,1.4,5
22.7,39.8,0.08,23.1,0.67,1.2,6
21.0,40.5,0.16,22.2,2.58,1.0,5.0
22.7,67.0,0.63,23.6,0.61,1.18,3.0
23.1,65.9,0.1,23.4,0.56,1.2,5.0
22.3,58.6,0.07,22.6,0.48,1.0,5.0
22.3,64.0,0.09,22.3,0.41,1.2,5.0
22.8,62.6,0.04,22.7,0.72,1.2,5.0
24.6,57.5,0.2,25.3,0.51,1.4,6
22.8,12.6,0.06,21.8,0.8,1.1,3.0
23.7,48.0,0.1,23.9,0.38,0.99,4
23.8,37.0,0.06,23.4,0.5,1.2,3.0
26.1,44.7,0.08,26.9,0.67,1.1,2.0
22.3,43.0,0.22,24.7,0.74,1.2,3.0
24.1,37.2,0.17,22.1,0.85,1.0,5.0
21.1,64.3,0.24,19.5,1.06,1.0,2.0
